userId,movieId,rating
1,1,4.0
1,3,4.0
1,6,4.0
1,47,5.0
1,50,5.0
1,70,3.0
2,2,1.0
3,31,0.5
4,21,3.0
4,32,2.0
4,45,3.0
4,47,2.0
4,52,3.0
4,58,3.0
5,1,4.0
5,21,4.0
5,34,4.0
5,36,4.0
5,39,3.0
5,50,4.0
5,58,5.0
6,2,4.0
6,3,5.0
6,4,3.0
6,5,5.0
6,6,4.0
6,7,4.0
6,8,3.0
6,10,3.0
6,11,4.0
6,13,3.0
6,15,4.0
6,16,4.0
6,17,4.0
6,19,2.0
6,21,2.0
6,22,5.0
6,24,4.0
6,25,3.0
6,26,4.0
6,27,3.0
6,31,3.0
6,32,4.0
6,34,4.0
6,36,5.0
6,41,4.0
6,43,4.0
6,45,3.0
6,46,4.0
6,47,4.0
6,50,1.0
6,54,4.0
6,60,4.0
6,61,4.0
6,62,4.0
6,65,3.0
6,66,3.0
6,76,4.0
6,79,3.0
6,86,5.0
6,87,3.0
6,88,2.0
6,89,4.0
6,92,4.0
6,93,4.0
6,95,4.0
7,1,4.5
7,50,4.5
7,58,3.0
8,2,4.0
8,10,2.0
8,11,4.0
8,21,4.0
8,32,3.0
8,34,5.0
8,39,3.0
8,47,4.0
8,50,5.0
9,41,3.0
